iter	Logloss
266	0.07522849061
267	0.07484709756
268	0.07461194697
269	0.07446513907
270	0.07416990232
271	0.07404907092
272	0.07379597686
273	0.07368253248
274	0.07333556193
275	0.0731129453
276	0.07285304329
277	0.07252191494
278	0.07219018655
279	0.07195289117
280	0.07171383515
281	0.07154822401
282	0.07136996485
283	0.07117145812
284	0.07103152598
285	0.07071653147
286	0.07057709616
287	0.07041712689
288	0.07015388498
289	0.06994979634
290	0.06972560217
291	0.06961164271
292	0.06940471326
293	0.06924917874
294	0.06893610674
295	0.06867875374
296	0.06845772241
297	0.06816558665
298	0.06797510061
299	0.06781465007
300	0.06762109743
301	0.0673741255
302	0.06719563191
303	0.06700634989
304	0.06686692619
305	0.06675504442
306	0.06652347288
307	0.06634178991
308	0.06621353506
309	0.06599908858
310	0.06582643787
311	0.06561741192
312	0.06549462401
313	0.06536185227
314	0.06514448368
315	0.06480903751
316	0.0647020794
317	0.06459180194
318	0.064477843
319	0.06424916341
320	0.06407038356
321	0.06392421492
322	0.06364760223
323	0.06352626504
324	0.06322607362
325	0.06305308838
326	0.06280823547
327	0.0626314458
328	0.06239355114
329	0.0622170727
330	0.06210546367
331	0.06199129994
332	0.06188014628
333	0.06172150451
334	0.06149329862
335	0.06133308275
336	0.06111706711
337	0.06093151088
338	0.06075037334
339	0.06056405829
340	0.06036956775
341	0.06022470804
342	0.06009039681
343	0.05992160193
344	0.05961052443
345	0.05942203621
346	0.05928858074
347	0.05916009194
348	0.05906389572
349	0.05893803515
350	0.05882518909
351	0.05865608036
352	0.05852215912
353	0.05842772434
354	0.05827330806
355	0.05807709317
356	0.05793996597
357	0.05780564667
358	0.05758325487
359	0.0573335687
360	0.05723846172
361	0.05714500327
362	0.05703525897
363	0.05686992432
364	0.05675864439
365	0.05665909824
366	0.05647952317
367	0.05639678757
368	0.05623712273
369	0.0561377091
370	0.05595474743
371	0.05585772477
372	0.0556858445
373	0.0555263788
374	0.05540932631
375	0.05527041083
376	0.05510398588
377	0.05499616222
378	0.05485992627
379	0.05476761055
380	0.05468667347
381	0.05455487608
382	0.05436889194
383	0.05427093688
384	0.05405781199
385	0.05386137182
386	0.05373077152
387	0.05357760687
388	0.05343038826
389	0.05333965814
390	0.05321209298
391	0.05309287715
392	0.0529897141
393	0.05284804055
394	0.05276121078
395	0.0526165539
396	0.05238134807
397	0.05225717732
398	0.0522192424
399	0.05201533851
