iter	Logloss
0	0.6215120921
1	0.5723998996
2	0.5287470171
3	0.4935889664
4	0.465998846
5	0.4431341118
6	0.423237059
7	0.4035384725
8	0.3918176746
9	0.37531163
10	0.3618325299
11	0.3505478893
12	0.3408249276
13	0.3325197165
14	0.3250787221
15	0.3164465271
16	0.3080869371
17	0.3006248565
18	0.2949718463
19	0.2890333201
20	0.2834223247
21	0.2776015909
22	0.2733715961
23	0.269420224
24	0.2652846767
25	0.2615093715
26	0.2577018004
27	0.255215915
28	0.2504986821
29	0.2474782729
30	0.2437252329
31	0.2412301166
32	0.2384841061
33	0.2360318842
34	0.2323876549
35	0.2304540464
36	0.2274079856
37	0.2252807127
38	0.2228353996
39	0.2202934731
40	0.2170709425
41	0.2153373455
42	0.2110872785
43	0.2093318505
44	0.2074915657
45	0.2059639976
46	0.2041212454
47	0.2012422204
48	0.1987985418
49	0.1964926608
50	0.1950780776
51	0.1924098551
52	0.1912115787
53	0.1899542828
54	0.1878947925
55	0.1868398894
56	0.186022806
57	0.1837468324
58	0.1825648197
59	0.1814224329
60	0.1800215433
61	0.1787448411
62	0.1769494696
63	0.1759438663
64	0.1747165617
65	0.1733215169
66	0.1719322166
67	0.1701675276
68	0.1690403621
69	0.1682223714
70	0.166725341
71	0.1659922506
72	0.1645412842
73	0.1628998762
74	0.1618208854
75	0.1611209242
76	0.1603190639
77	0.1591416195
78	0.1581673502
79	0.1569821847
80	0.1563175043
81	0.1549665437
82	0.1538582875
83	0.153087417
84	0.1517724657
85	0.1513041127
86	0.1508803955
87	0.1504253299
88	0.1491003911
89	0.1482913147
90	0.147420396
91	0.1466766722
92	0.1461428027
93	0.1455925912
94	0.1451117089
95	0.1444747881
96	0.1440088696
97	0.1435640422
98	0.1428849771
99	0.1423528218
100	0.1419019671
101	0.141251865
102	0.1402843164
103	0.1398759633
104	0.1394961744
105	0.1388285565
106	0.1383358479
107	0.1375863722
108	0.1370386356
109	0.1362698032
110	0.1352679056
111	0.1345846655
112	0.1342548826
113	0.1338604663
114	0.1332112844
115	0.1328080887
116	0.1321292022
117	0.1316611735
118	0.1306915626
119	0.1303018881
120	0.1299960562
121	0.1295090818
122	0.1289257124
123	0.1286107128
124	0.1280669887
125	0.1273170607
126	0.1267758074
127	0.1262769623
128	0.1260101032
129	0.1255061178
130	0.1247319475
131	0.1242482268
132	0.1236380139
133	0.1233693699
134	0.1227582153
135	0.1219197331
136	0.1214005209
137	0.1209054483
138	0.1204135604
139	0.119890659
140	0.1193305161
141	0.1188275609
142	0.1180785838
143	0.1176836781
144	0.1167766817
145	0.1162286398
146	0.115736887
147	0.1154308853
148	0.1148130894
149	0.114493794
150	0.1139987883
151	0.1134838582
152	0.1130251235
153	0.1127014247
154	0.1122162764
155	0.1115747583
156	0.1109499836
157	0.1105126605
158	0.1102820902
159	0.1098078465
160	0.1092499944
161	0.1088279227
162	0.1084912809
163	0.1081011341
164	0.1078393547
165	0.107553954
166	0.1071416122
167	0.1068470604
168	0.106623764
169	0.1063092413
170	0.1059337245
171	0.1054061139
172	0.1051784792
173	0.1043353469
174	0.1041259384
175	0.1038109785
176	0.103534082
177	0.1031321827
178	0.1027754615
179	0.102588922
180	0.1023860381
181	0.1019875639
182	0.1017890099
183	0.1013332007
184	0.1010678074
185	0.1007796409
186	0.1003973995
187	0.09998917657
188	0.09966972139
189	0.09932716786
190	0.09887877219
191	0.09868559209
192	0.09843528938
193	0.09805959654
194	0.09776822916
195	0.0973564505
196	0.09699684463
197	0.09657206756
198	0.09619946638
199	0.09562752859
200	0.09505182879
201	0.09480666912
202	0.09430269879
203	0.09405207428
204	0.09361509163
205	0.09338970785
206	0.09308723681
207	0.09270457771
208	0.09225364538
209	0.09185160157
210	0.09161982695
211	0.0912487462
212	0.09085821046
213	0.0903796982
214	0.09015643657
215	0.08993316606
216	0.08976990296
217	0.08939850992
218	0.08899280819
219	0.0887578585
220	0.0883874202
221	0.08814172753
222	0.08794245382
223	0.0877260215
224	0.08739942138
225	0.08723927592
226	0.08702427104
227	0.08673640719
228	0.08651689059
229	0.08618961269
230	0.0859450576
231	0.08567825117
232	0.08542746461
233	0.08500569255
234	0.08451132492
235	0.08416531156
236	0.0839161841
237	0.08370636254
238	0.08343899903
239	0.08304687139
240	0.08274572264
241	0.08236048923
242	0.0819081654
243	0.08168666472
244	0.08132124458
245	0.08101833138
246	0.0807309298
247	0.0805202211
248	0.08029392802
249	0.07986872747
250	0.07955373772
251	0.07933542508
252	0.07897321086
253	0.07876585961
254	0.07856363464
255	0.07841283329
256	0.07793030367
257	0.07768403229
258	0.07745560872
259	0.07701716999
260	0.07670372751
261	0.07637304177
262	0.07605755543
263	0.07585848121
264	0.0756691539
265	0.07552478728
